iter	TotalF1:average=Macro	MultiClass
673	0.658512498	0.8683042355
674	0.6587025303	0.8681144743
675	0.6589776799	0.8679018023
676	0.6590936607	0.8677510559
677	0.6591563678	0.8675413723
678	0.6591333559	0.8674135366
679	0.6592300375	0.8672787282
680	0.6593596908	0.8671401842
681	0.6593541825	0.8669524983
682	0.6594030663	0.8667347627
683	0.6598545043	0.8664017259
684	0.6600082733	0.8660943394
685	0.6600281758	0.8659224254
686	0.6602085199	0.8657932616
687	0.660316444	0.8656564608
688	0.6605403441	0.8653284878
689	0.6605590702	0.8651875365
690	0.6607231978	0.8649689708
691	0.660979933	0.8647231778
692	0.6611433862	0.8643514583
693	0.6611260218	0.8640476412
694	0.6609836882	0.8638944875
695	0.6611088381	0.8636277759
696	0.6610977091	0.8634699736
697	0.6612046746	0.8633594871
698	0.6612474869	0.8632485855
699	0.6611162412	0.8630115915
700	0.6612943903	0.8628131973
701	0.6614403532	0.8626667674
702	0.6620667907	0.8624027951
703	0.6621046924	0.8622237422
704	0.6621696156	0.8620686793
705	0.6622584829	0.8618393222
706	0.6623693092	0.8616430032
707	0.6627293271	0.8613095515
708	0.6628101831	0.8612619037
709	0.6627129824	0.860757534
710	0.6628459197	0.8605060133
711	0.6630763014	0.8601797004
712	0.663196921	0.8601188539
713	0.6632635712	0.8600102767
714	0.6632277923	0.8598626846
715	0.6633744925	0.8596386402
716	0.6634178615	0.8594137657
717	0.6637147512	0.8592008447
718	0.6635965115	0.8591487143
719	0.6640488379	0.8588568507
720	0.6640901567	0.858703946
721	0.6641650438	0.8585389218
722	0.6640674533	0.8582898083
723	0.6645160758	0.8579694722
724	0.6645189388	0.8578173146
725	0.6645729915	0.8576431593
726	0.6648032805	0.8575627225
727	0.664733072	0.8573620869
728	0.6647451044	0.8571953196
