iter	TotalF1:average=Macro	MultiClass
573	0.6745362855	0.8165878938
574	0.6745941154	0.8164885854
575	0.6747068655	0.8163668376
576	0.6747530174	0.8161906602
577	0.6748915426	0.8158486907
578	0.6750129419	0.8157200813
579	0.6751329213	0.815505794
580	0.6751548689	0.8153596595
581	0.6752725601	0.8152194595
582	0.6754113193	0.8150715632
583	0.6754698942	0.8148234314
584	0.6754409989	0.8146162839
585	0.6754072146	0.8143937441
586	0.67557315	0.814258273
587	0.6756863899	0.8140755122
588	0.6759025392	0.8138402691
589	0.6759341458	0.8137097124
590	0.6759530908	0.8135310315
591	0.6760177999	0.8134038129
592	0.6761242909	0.8132722363
593	0.6761185504	0.8130941117
594	0.676250682	0.8129313795
595	0.6762404451	0.8128189042
596	0.6762916382	0.8126103658
597	0.6762990615	0.8123632539
598	0.676315417	0.812290094
599	0.6763958356	0.8121613918
600	0.6765033775	0.8120069121
601	0.676652886	0.8118098716
602	0.6766943444	0.8115509837
603	0.676707386	0.8114540861
604	0.6770037697	0.8111685861
605	0.6770721919	0.8109614387
606	0.6772598819	0.8107643982
607	0.6774627108	0.8106176147
608	0.6774173184	0.8105277643
609	0.6774638364	0.8104277141
610	0.6775679939	0.8102253883
611	0.67762475	0.8101076277
612	0.6777520052	0.809898533
613	0.677830387	0.8098429908
614	0.6779339183	0.809720223
615	0.6779407568	0.8096243454
616	0.6780684098	0.8093028681
617	0.6780194304	0.8091551573
618	0.6780056814	0.8090772684
619	0.6780326433	0.8089275177
620	0.6781409611	0.8086536083
621	0.6783154968	0.8084385792
622	0.6784847555	0.8081273944
623	0.6785349742	0.8080608179
624	0.6786223931	0.8079042055
625	0.6787881503	0.807721352
626	0.6789689013	0.8075488836
627	0.6789246484	0.8074290831
628	0.6790933227	0.8073278275
629	0.6792227833	0.807093048
630	0.6791428356	0.8069985613
631	0.6793456078	0.8065519981
632	0.6793998795	0.8063023826
633	0.6794883729	0.8059990794
634	0.6795904063	0.8057419532
635	0.6795521708	0.8056516392
636	0.6795209397	0.805472031
637	0.679593908	0.8053996129
638	0.6796651603	0.805327102
639	0.6796764804	0.8051588063
640	0.6796878719	0.8050664522
641	0.6797506441	0.8049617658
642	0.6799037394	0.8047767796
643	0.6799679049	0.8045983769
644	0.6800391034	0.8044646675
645	0.6800928088	0.8043478341
646	0.6802629176	0.8041149092
647	0.6802729162	0.8038387744
648	0.6804566296	0.8035223042
649	0.6805067402	0.8033488159
650	0.6806385007	0.8032244718
651	0.6807106949	0.8031183018
652	0.6808132889	0.8029231158
653	0.6808863236	0.8028477305
654	0.6809232744	0.8027181011
655	0.6810798405	0.8024758109
656	0.6811306189	0.8024087707
657	0.681251086	0.8022197046
658	0.6811342708	0.8019821434
659	0.6811486777	0.8018654027
660	0.6813686027	0.8015710011
661	0.6814741554	0.8013540248
662	0.6815815877	0.8012260645
663	0.6815939602	0.8011354722
664	0.6816829331	0.801020586
665	0.6817436312	0.800916456
666	0.6817386182	0.8007272971
667	0.6819208031	0.8005904352
668	0.6820754687	0.8003124459
669	0.68216194	0.8002391005
670	0.682379127	0.7999567531
671	0.6823812891	0.7998556829
672	0.6824890761	0.7995030501
673	0.6825112041	0.7993228856
674	0.6826207933	0.7992400822
675	0.6827714561	0.7990162443
676	0.6828207994	0.7989418789
677	0.6827625191	0.798674553
678	0.6828341973	0.7985810863
679	0.6829269229	0.7983634609
680	0.6830891824	0.7981315559
681	0.6831713131	0.7979648365
682	0.6832839858	0.7978051642
683	0.6833819106	0.7976935234
684	0.683535335	0.7974304628
685	0.6836206115	0.7971973524
686	0.6836033805	0.7969125942
687	0.6837455074	0.7967096193
688	0.6837889589	0.796570161
689	0.6839426295	0.7964042762
690	0.6840908544	0.7961262869
691	0.6841294384	0.7960560941
692	0.6842477577	0.7959525204
693	0.6842739404	0.7957627125
694	0.6843147009	0.7956596951
695	0.6842689428	0.7955755009
696	0.6845000085	0.795348603
697	0.684613858	0.7950198932
698	0.6845823174	0.7949554494
699	0.6846068474	0.7947753776
700	0.6846834218	0.7947070393
701	0.6848034989	0.7944704054
702	0.6848549434	0.794372766
703	0.6848921189	0.7942728086
704	0.6850093683	0.7941765601
705	0.6850398158	0.7941055328
706	0.6850747569	0.7939691345
707	0.6851057789	0.7938242054
708	0.6851577318	0.7936948542
709	0.6851849987	0.7935509451
710	0.685215343	0.7934701817
711	0.6851912264	0.7932691541
712	0.68523156	0.7931439755
713	0.685338226	0.7929680763
714	0.6852870815	0.7928774841
715	0.6853625747	0.7927746521
716	0.6855616369	0.7925968985
717	0.6856122904	0.7924669909
718	0.6857200958	0.7923784386
719	0.6857894002	0.7922204353
720	0.6858894843	0.7921102781
721	0.685954108	0.7920522323
722	0.6860414507	0.7919494004
723	0.6860464513	0.791833587
724	0.686164153	0.7916938505
725	0.6862006173	0.791636732
726	0.6863111473	0.7914597201
727	0.6863735087	0.7912960606
728	0.6865283961	0.7911877579
729	0.6866020997	0.7911082927
730	0.6866656555	0.7909916447
731	0.6868179715	0.7907882063
732	0.6869842409	0.7905658519
733	0.6871381711	0.7904234265
734	0.6872600246	0.7901971777
735	0.6872825355	0.7899904011
736	0.6872339412	0.7899060214
737	0.6872194841	0.789862348
738	0.6874399333	0.7896322975
739	0.6874028159	0.7895037808
740	0.6875913388	0.7893530101
741	0.6876983949	0.7890582376
742	0.6876870305	0.7889847994
743	0.6877750829	0.7887611469
744	0.6878622576	0.7886827944
745	0.6878993954	0.7886018455
746	0.6880000982	0.788421681
747	0.6880253521	0.7883473156
748	0.6880607731	0.7881651112
749	0.6881511827	0.7880347399
750	0.6880805245	0.7879825358
751	0.688076383	0.7877528562
752	0.6881928095	0.7876530842
753	0.6883423213	0.7874565074
754	0.6883769419	0.7872480618
755	0.6884157603	0.78717416
756	0.6885362574	0.7869407714
757	0.6885301059	0.7868308924
758	0.6885037814	0.7867874044
759	0.6886292829	0.786617996
760	0.6887420939	0.7863841437
761	0.68870706	0.7862754701
762	0.6888131739	0.786121825
763	0.6889263935	0.7860370744
764	0.6889859854	0.7859436077
765	0.6890547967	0.785675169
766	0.6891634195	0.7855553685
767	0.6892069827	0.7854711742
768	0.6891779127	0.7854236991
769	0.689403517	0.7851724146
770	0.6894706362	0.785026651
771	0.6896690428	0.7849134339
772	0.6896730899	0.7846611294
773	0.6897503263	0.7845595956
774	0.6898866572	0.7844654798
775	0.6899898193	0.7843592171
776	0.6900483245	0.7842421055
777	0.6901743072	0.7841225831
778	0.6901481686	0.7839832175
779	0.6901919452	0.783830036
780	0.6904839604	0.7835724462
781	0.6904696414	0.7835060551
782	0.6904692257	0.783343972
783	0.6905812675	0.7832338148
784	0.6907715365	0.7830989927
785	0.690804157	0.7829845702
786	0.6910065604	0.7828790493
787	0.6911186328	0.782672829
788	0.6912305562	0.7825441269
789	0.6913161981	0.7824692051
790	0.6913340477	0.782403185
791	0.6914246198	0.7822299748
792	0.6914062451	0.7820016861
793	0.691548269	0.7817287967
794	0.6916733254	0.781443853
795	0.6917058609	0.7813006858
796	0.6918026546	0.7811682746
797	0.6917757914	0.7810577465
798	0.6918737806	0.7809009487
799	0.6918708288	0.7808609842
800	0.691972333	0.7807937586
801	0.6920796121	0.7806172104
802	0.6921365616	0.7804708905
803	0.6921886934	0.7803913325
804	0.6922210032	0.7802939714
805	0.6924284583	0.7801062961
806	0.69235229	0.7800259964
807	0.6924898245	0.7799037849
808	0.692509092	0.7798133781
809	0.6925906691	0.7796824505
810	0.6926922457	0.7795391906
811	0.6927934201	0.7793687622
812	0.6928559146	0.7791787688
813	0.6928434114	0.7790969854
814	0.6928720994	0.7790534975
815	0.6929285267	0.7788661004
816	0.6928707093	0.778730073
817	0.6928908914	0.7785912638
818	0.6928979613	0.7785309926
819	0.693022408	0.7784369695
820	0.6931085871	0.7782536523
821	0.6932019236	0.7781409916
822	0.6933388795	0.7779897572
823	0.6933598091	0.7778676385
824	0.6933867696	0.7778037511
825	0.693397311	0.7776818642
826	0.6934780035	0.7775680443
827	0.6935246588	0.7774043848
828	0.6938334974	0.777113275
829	0.6938279095	0.7770106285
830	0.6939086667	0.7768943515
831	0.6940215529	0.776618263
832	0.6940354882	0.7764231698
833	0.6942083046	0.7761273773
834	0.6941924494	0.7760383614
835	0.6942649326	0.7759856937
836	0.694301718	0.7759278333
837	0.6944330455	0.7758273659
838	0.6944608261	0.7757524441
839	0.6944183666	0.7756293982
840	0.6944746075	0.7755568873
841	0.6944761072	0.7754382921
842	0.6945422275	0.7753588269
843	0.6945832434	0.7752867796
844	0.694625354	0.7751725425
845	0.6946973284	0.7750883483
846	0.6947864323	0.7750073994
847	0.6948454218	0.7748346529
848	0.6948782455	0.7747174023
849	0.695028781	0.7745739568
850	0.6950560219	0.7744896235
851	0.6952132087	0.7742807607
852	0.6952358409	0.7742031499
853	0.6953553684	0.7739448183
854	0.6954193882	0.7737932131
855	0.6955898618	0.7736245464
856	0.6955637634	0.7735150383
857	0.6955491243	0.7734241215
858	0.6956452364	0.7733088645
859	0.6957235653	0.7732542959
860	0.6957957091	0.7731435823
861	0.6957783217	0.7729912816
862	0.6958787847	0.7728986031
863	0.6959312677	0.7728100971
864	0.6960055908	0.7726311844
865	0.6959660337	0.7724697967
866	0.6960395061	0.7723824035
867	0.6960948802	0.7722757235
868	0.696133774	0.7722142005
869	0.6962194092	0.7720978771
870	0.6961450743	0.7718891533
871	0.6961855893	0.7717849305
872	0.6962073522	0.7716274372
873	0.6963072677	0.7713832925
874	0.6966378098	0.7712127714
875	0.6965451006	0.7710941762
876	0.6966576188	0.771002054
877	0.6966417212	0.7709431737
878	0.6967006748	0.7707948139
879	0.6966884511	0.7707454378
880	0.6968040355	0.7704844172
881	0.6968343033	0.7704146881
882	0.6968995998	0.7703574768
